config_id,indicator_name,category,timeframe,params,output_columns,description
supertrend_10_3_5m,supertrend,trend,5m,"{""period"": 10, ""multiplier"": 3}","{""v1"": ""supertrend"", ""v2"": ""direction""}","SuperTrend (10,3) on 5-minute candles"
supertrend_7_2_15m,supertrend,trend,15m,"{""period"": 7, ""multiplier"": 2}","{""v1"": ""supertrend"", ""v2"": ""direction""}","SuperTrend (7,2) tighter on 15-minute"
turnover_1h,turnover_1h,oi_features,15m,"{""source_table"": ""oi_features"", ""source_column"": ""turnover_1h""}","{""v1"": ""turnover_1h""}",OI feature from indicators.oi_features: turnover_1h
turnover_4h,turnover_4h,oi_features,15m,"{""source_table"": ""oi_features"", ""source_column"": ""turnover_4h""}","{""v1"": ""turnover_4h""}",OI feature from indicators.oi_features: turnover_4h
ulcer_14_15m,ulcer_index,volatility,15m,"{""period"": 14}","{""v1"": ""value""}",Ulcer Index (14) downside risk on 15-minute
ulcer_14_1h,ulcer_index,volatility,1h,"{""period"": 14}","{""v1"": ""value""}",Ulcer Index (14) downside risk on 1-hour
ultimate_7_14_28_15m,ultimate_oscillator,complex,15m,"{""period1"": 7, ""period2"": 14, ""period3"": 28}","{""v1"": ""value""}","Ultimate Oscillator (7,14,28) on 15-minute"
ultimate_7_14_28_1h,ultimate_oscillator,complex,1h,"{""period1"": 7, ""period2"": 14, ""period3"": 28}","{""v1"": ""value""}","Ultimate Oscillator (7,14,28) on 1-hour"
vortex_14_15m,vortex,trend,15m,"{""period"": 14}","{""v1"": ""plus_vi"", ""v2"": ""minus_vi""}",Vortex Indicator (14) on 15-minute candles
vortex_14_1h,vortex,trend,1h,"{""period"": 14}","{""v1"": ""plus_vi"", ""v2"": ""minus_vi""}",Vortex Indicator (14) on 1-hour candles
vwap_20_5m,vwap,volume,5m,"{""lookback"": 20}","{""v1"": ""value""}",VWAP (20) short session on 5-minute
vwap_24_1h,vwap,volume,1h,"{""lookback"": 24}","{""v1"": ""value""}",VWAP (24) daily session on 1-hour
vwap_50_15m,vwap,volume,15m,"{""lookback"": 50}","{""v1"": ""value""}",VWAP (50) on 15-minute candles
vwap_96_15m,vwap,volume,15m,"{""lookback"": 96}","{""v1"": ""value""}",VWAP (96) ~24hr session on 15-minute
vwma_20_15m,vwma,moving_average,15m,"{""period"": 20}","{""v1"": ""value""}",Volume Weighted Moving Average (20) on 15-minute candles
vwma_9_15m,vwma,moving_average,15m,"{""period"": 9}","{""v1"": ""value""}",Volume Weighted Moving Average (9) on 15-minute candles
vwma_9_1h,vwma,moving_average,1h,"{""period"": 9}","{""v1"": ""value""}",Volume Weighted Moving Average (9) on 1-hour candles
weak_rally_streak,weak_rally_streak,oi_features,15m,"{""source_table"": ""oi_features"", ""source_column"": ""weak_rally_streak""}","{""v1"": ""weak_rally_streak""}",OI feature from indicators.oi_features: weak_rally_streak
weak_selloff_streak,weak_selloff_streak,oi_features,15m,"{""source_table"": ""oi_features"", ""source_column"": ""weak_selloff_streak""}","{""v1"": ""weak_selloff_streak""}",OI feature from indicators.oi_features: weak_selloff_streak
williams_14_15m,williams_r,oscillator,15m,"{""period"": 14}","{""v1"": ""value""}",Williams %R (14) on 15-minute candles
williams_14_1h,williams_r,oscillator,1h,"{""period"": 14}","{""v1"": ""value""}",Williams %R (14) on 1-hour candles
williams_14_5m,williams_r,oscillator,5m,"{""period"": 14}","{""v1"": ""value""}",Williams %R (14) on 5-minute candles
wma_21_15m,wma,moving_average,15m,"{""period"": 21}","{""v1"": ""value""}",Weighted Moving Average (21) on 15-minute candles
wma_9_15m,wma,moving_average,15m,"{""period"": 9}","{""v1"": ""value""}",Weighted Moving Average (9) on 15-minute candles
wma_9_1h,wma,moving_average,1h,"{""period"": 9}","{""v1"": ""value""}",Weighted Moving Average (9) on 1-hour candles
